|Nome     |Velocidade |H       |G       |
|SA       |000.0410686|00008.48|00090.50|
|SSA      |000.0821373|00004.34|00039.50|
|MF       |001.0980331|00001.87|00343.67|
|Q1       |013.3986609|00001.27|00125.85|
|O1       |013.9430356|00005.12|00161.57|
|P1       |014.9589314|00001.57|00229.16|
|S1       |015.0000000|00000.51|00260.31|
|K1       |015.0410686|00004.68|00232.75|
|OQ2      |027.3416964|00000.78|00131.63|
|2N2      |027.8953549|00002.70|00100.23|
|MU2      |027.9682084|00002.44|00122.12|
|N2       |028.4397295|00016.80|00113.12|
|NU2      |028.5125831|00003.54|00109.66|
|2KN2S2   |028.6040041|00001.02|00241.31|
|OP2      |028.9019669|00000.85|00009.96|
|MTS2     |028.9430375|00001.34|00358.08|
|M2       |028.9841042|00080.50|00123.20|
|MST2     |029.0251709|00001.01|00104.02|
|LAMBD2   |029.4556253|00000.85|00102.91|
|L2       |029.5284789|00002.65|00119.06|
|T2       |029.9589333|00001.66|00122.92|
|S2       |030.0000000|00028.33|00142.40|
|K2       |030.0821373|00007.93|00134.60|
|MSN2     |030.5443747|00000.81|00282.06|
|2SM2     |031.0158958|00001.00|00264.08|
|MO3      |042.9271398|00000.29|00161.40|
|M3       |043.4761563|00000.59|00149.90|
|3MS4     |056.9523126|00000.22|00078.92|
|MN4      |057.4238337|00000.16|00318.19|
|M4       |057.9682084|00000.75|00330.72|
|MS4      |058.9841042|00001.17|00020.36|
|MK4      |059.0662415|00000.34|00010.53|
|SL4      |059.5284789|00000.17|00311.51|
|S4       |060.0000000|00000.18|00109.50|
|4MS6     |085.9364168|00000.12|00317.73|
|MSN6     |087.4238337|00000.17|00350.69|
|2SM6     |088.9841042|00000.27|00354.80|
|2MKK7    |103.0914143|00000.10|00153.71|
|2SMK7    |104.0251728|00000.13|00322.66|
|3MN8     |115.3920422|00000.10|00306.60|
|3MS8     |116.9523127|00000.10|00011.50|
|3SM8     |118.9841042|00000.13|00207.04|
|3MSK9    |131.9933812|00000.08|00312.12|
|4SK9     |135.0410686|00000.11|00282.31|
|4MS10    |145.9364168|00000.12|00166.51|
