S
1  "ILHA FISCAL"
 22 53,80 S
 43 10,00 W
 3 
  57       224,76
"2Q1"      1     6            1             0,40   16,32
"SIGMA1"   1     7            1             0,50   32,74
"Q1"       1     8            1             2,81   72,19
"RO1"      1     9            1             0,37   74,83
"O1"       1    10            1            11,19   88,32
"M1"       1    12            1             0,32   57,94
"P1"       1    15            1             2,16  149,03
"K1"       1    17            1             5,65  145,48
"J1"       1    21            1             0,30  246,56
"OO1"      1    22            1             0,28  345,34
"OQ2"      2    10  8         1  1          0,19  170,03
"MNS2"     3    28 26 32      1  1 -1       0,48   85,12
"2N2"      1    24            1             1,56  131,73
"MU2"      1    25            1             1,88  107,01
"N2"       1    26            1             4,43  121,65
"NU2"      1    27            1             0,52  123,57
"OP2"      2    10 15         1  1          0,25    8,11
"M2"       1    28            1            33,84   86,00
"MKS2"     3    28 34 32      1  1 -1       0,23  118,14
"LAMBDA2"  1    29            1             0,37   16,61
"L2"       1    30            1             1,64   39,20
"T2"       1    31            1             0,75  124,05
"S2"       1    32            1            18,35   91,33
"K2"       1    34            1             5,74   84,70
"KJ2"      2    17 21         1  1          0,29  265,54
"2SM2"     2    32 28         2 -1          0,36  258,87
"2N2"      1    24            1             0,59  157,30
"NU2"      1    27            1             0,84  117,94
"MO3"      2    28 10         1  1          0,17   83,69
"M3"       1    37            1             0,86  183,55
"SO3"      2    32 10         1  1          0,28  130,68
"MK3"      2    28 17         1  1          0,30  102,58
"SP3"      2    32 15         1  1          0,34  243,62
"SK3"      2    32 17         1  1          0,32  197,05
"N4"       1    26            2             0,43  328,27
"3MS4"     2    28 32         3 -1          0,37  353,37
"MN4"      2    28 26         1  1          2,42   32,43
"M(NU)4"   2    28 27         1  1          0,49   44,56
"M4"       1    28            2             5,32   78,57
"SN4"      2    32 26         1  1          0,52  142,43
"3MN4"     2    28 26         3 -1          0,74  310,02
"MS4"      2    28 32         1  1          2,64  176,71
"MK4"      2    28 34         1  1          0,72  179,36
"SL4"      2    32 30         1  1          0,24  206,07
"S4"       1    32            2             0,32  327,83
"MNO5"     3    28 26 10      1  1  1       0,14   19,06
"2MO5"     2    28 10         2  1          0,18   45,96
"MNK5"     3    28 26 17      1  1  1       0,14  140,94
"4MS6"     2    28 32         4 -1          0,11  296,25
"2MSNK6"   4    28 32 26 34   2  1  1 -1    0,06   25,40
"2MN6"     2    28 26         2  1          0,09   43,05
"M6"       1    28            3             0,09  113,41
"2MS6"     2    28 32         2  1          0,16  206,42
"2SM6"     2    32 28         2  1          0,07  266,61
"MSK6"     3    28 32 34      1  1  1       0,07  211,59
"MSNO7"    4    28 32 26 10   1  1  1  1    0,05   34,77
"Ssa"      1     2            1             7,90   85,69
