









                      ANÁLISE HARMÔNICA REFINADA DA MARÉ




                        ESTAÇÃO MAREGRÁFICA:CANANEIA
                        LATITUDE: 25   1.0 S
                        LONGITUDE: 47  55.5 W
                        FUSO HORÀRIO: 3 
                        HORA INICIAL:  12.00000
                        DATA: 3 / 1 / 1955 
                        No. DE DIAS DA ANÁLISE: 13872.00
                        NIVEL 'MÉDIO':  159.00 cm
                        % PARA A REJEIÇÃO DE PEQUENAS COMPONENTES:  99%








































                           CICLOS POR DIA:   0
                           GRAUS DE LIBERDADE: 2920 
                           VARIÂNCIA:261.25
                           DESVIO PADRÃO:  2.38 cm


                        ESPECTRO DE AMPLITUDES RESIDUAIS

     Gr./h    Res.   Gr./h    Res.   Gr./h    Res.   Gr./h    Res.   Gr./h    Res.

      0.038   0.64    0.039   1.01    0.040   0.10    0.041   1.08    0.042   0.32
      0.043   1.39    0.044   0.90    0.045   2.21    0.046   0.96    0.048   1.44
      0.049   1.58    0.050   0.70    0.051   0.64    0.052   1.76    0.053   1.57
      0.054   0.95    0.055   0.96    0.056   0.97    0.057   0.40    0.058   0.70
      0.059   0.56    0.061   0.41    0.062   0.39    0.063   0.44    0.064   0.38
      0.065   0.23    0.066   0.86    0.067   0.82    0.068   0.39    0.069   0.32
      0.070   1.31    0.071   1.53    0.072   1.07    0.074   0.91    0.075   0.87
      0.076   0.54    0.077   0.25    0.078   0.66    0.079   1.43    0.080   0.91
      0.081   0.31    0.082   0.40    0.083   0.36    0.084   0.80    0.085   0.33
      0.087   0.19    0.088   0.37    0.089   0.40    0.090   0.24    0.091   0.18
      0.092   0.53    0.093   0.89    0.094   0.94    0.095   1.35    0.096   1.10
      0.097   0.63    0.098   0.11    0.099   0.55    0.101   0.83    0.102   0.50
      0.103   0.40    0.104   0.72    0.105   1.05    0.106   0.59    0.107   0.44
      0.108   0.34    0.109   0.47    0.110   0.63    0.111   0.56    0.112   0.42
      0.114   0.57    0.115   0.80    0.116   0.67    0.117   0.13    0.118   0.73
      0.119   1.11    0.120   0.65    0.121   0.20    0.122   0.71    0.123   1.08
      0.124   0.68    0.125   0.45    0.127   0.60    0.128   0.35    0.129   0.26
      0.130   0.58    0.131   0.40    0.132   0.38    0.133   0.65    0.134   1.19
      0.135   0.65    0.136   0.43    0.137   0.95    0.138   0.88    0.139   0.28
      0.141   0.22    0.142   0.37    0.143   0.36    0.144   0.71    0.145   0.49
      0.146   0.21    0.147   0.27    0.148   0.52    0.149   0.58    0.150   0.37
      0.151   0.23    0.152   0.22    0.154   0.27    0.155   0.59    0.156   0.58
      0.157   0.23    0.158   0.50    0.159   1.05    0.160   1.02    0.161   0.64
      0.162   0.84    0.163   1.01    0.164   0.42    0.165   0.32    0.167   0.33
      0.168   0.45    0.169   0.16    0.170   0.62    0.171   0.50    0.172   0.33
      0.173   0.74    0.174   0.54    0.175   0.31    0.176   0.35    0.177   0.09
      0.178   0.52    0.179   0.39    0.181   0.11    0.182   0.36    0.183   0.45
      0.184   0.41    0.185   0.68    0.186   0.73    0.187   0.58    0.188   0.64
      0.189   0.34    0.190   0.09    0.191   0.35    0.192   0.24    0.194   0.48
      0.195   0.57    0.196   0.31    0.197   0.37    0.198   0.19    0.199   0.51
      0.200   0.82    0.201   0.23    0.202   0.40    0.203   0.49    0.204   0.84
      0.205   1.26    0.207   0.47    0.208   0.59    0.209   0.55    0.210   0.45
      0.211   0.26    0.212   0.69    0.213   0.33    0.214   0.21    0.215   0.12
      0.216   0.78    0.217   1.01    0.218   0.74    0.220   0.60    0.221   0.61
      0.222   0.81    0.223   0.67    0.224   0.49    0.225   0.79    0.226   0.97
      0.227   0.91    0.228   0.74    0.229   0.56    0.230   0.35    0.231   0.33
      0.232   0.18    0.234   0.77    0.235   0.50    0.236   0.51    0.237   0.44
      0.238   0.43    0.239   0.85    0.240   0.64    0.241   0.22    0.242   0.12
      0.243   0.21    0.244   0.27    0.245   0.84    0.247   1.16    0.248   0.66
      0.249   0.06    0.250   0.23    0.251   0.17    0.252   0.14    0.253   0.56
      0.254   0.92    0.255   1.04    0.256   0.78    0.257   0.21    0.258   0.51
      0.260   0.43    0.261   0.36    0.262   0.61    0.263   0.76    0.264   0.63
      0.265   0.40    0.266   0.37    0.267   0.11    0.268   0.08    0.269   0.37
      0.270   0.50    0.271   0.48    0.272   0.09    0.274   0.58    0.275   0.94
      0.276   0.96    0.277   0.83    0.278   0.25    0.279   0.95    0.280   0.99
      0.281   0.25    0.282   0.93    0.283   1.28    0.284   0.92    0.285   0.59
      0.287   0.17    0.288   0.35    0.289   0.48    0.290   0.94    0.291   0.95
      0.292   0.78    0.293   0.77    0.294   0.76    0.295   0.38    0.296   0.57
      0.297   0.99    0.298   0.92    0.300   0.53    0.301   0.15    0.302   0.48
      0.303   0.43    0.304   0.60    0.305   0.76    0.306   0.53    0.307   0.19
      0.308   0.61    0.309   0.38    0.310   0.38    0.311   0.68    0.313   0.30
      0.314   0.36    0.315   0.58    0.316   0.48    0.317   0.70    0.318   1.33
      0.319   0.90    0.320   0.77    0.321   0.77    0.322   0.98    0.323   0.89
      0.324   0.43    0.325   0.53    0.327   0.75    0.328   0.25    0.329   0.02
      0.330   0.05    0.331   0.11    0.332   0.55    0.333   0.79    0.334   0.70
      0.335   0.42    0.336   0.27    0.337   0.09    0.338   0.76    0.340   1.25
      0.341   0.65    0.342   0.63    0.343   0.82    0.344   0.56    0.345   0.88
      0.346   0.41    0.347   0.60    0.348   0.84    0.349   0.35    0.350   1.15
      0.351   0.64    0.353   0.18    0.354   0.37    0.355   0.53    0.356   0.60
      0.357   0.07    0.358   0.36    0.359   0.64    0.360   0.66    0.361   0.49
