     PREVISÃO DE MARÉ

 Estação:ILHA FISCAL
 LAT.:   22 53,8 S
 LONG.:  43 10,0 W
 Fuso:  3 horas
 Nível médio: 2,31 m
 No. de componentes:  84

Fases da lua para 01/2011
               Dia  Hora

Lua nova:      04  09 05
Q. crescente:  12  11 34
Lua cheia:     19  21 24
Q. minguante:  26  12 60
   Data    Horas  Alt.(m)

01/01/2011  00:00  2,56
01/01/2011  00:10  2,57
01/01/2011  00:20  2,57
01/01/2011  00:30  2,58
01/01/2011  00:40  2,58
01/01/2011  00:50  2,58
01/01/2011  01:00  2,58
01/01/2011  01:10  2,59
01/01/2011  01:20  2,59
01/01/2011  01:30  2,58
01/01/2011  01:40  2,58
01/01/2011  01:50  2,58
01/01/2011  02:00  2,58
01/01/2011  02:10  2,57
01/01/2011  02:20  2,56
01/01/2011  02:30  2,56
01/01/2011  02:40  2,55
01/01/2011  02:50  2,54
01/01/2011  03:00  2,53
01/01/2011  03:10  2,52
01/01/2011  03:20  2,51
01/01/2011  03:30  2,50
01/01/2011  03:40  2,48
01/01/2011  03:50  2,47
01/01/2011  04:00  2,45
01/01/2011  04:10  2,43
01/01/2011  04:20  2,41
01/01/2011  04:30  2,39
01/01/2011  04:40  2,37
01/01/2011  04:50  2,34
01/01/2011  05:00  2,32
01/01/2011  05:10  2,29
01/01/2011  05:20  2,27
01/01/2011  05:30  2,24
01/01/2011  05:40  2,22
01/01/2011  05:50  2,19
01/01/2011  06:00  2,17
01/01/2011  06:10  2,15
01/01/2011  06:20  2,12
01/01/2011  06:30  2,10
01/01/2011  06:40  2,09
01/01/2011  06:50  2,07
01/01/2011  07:00  2,06
01/01/2011  07:10  2,05
01/01/2011  07:20  2,04
01/01/2011  07:30  2,04
01/01/2011  07:40  2,04
01/01/2011  07:50  2,04
01/01/2011  08:00  2,05
01/01/2011  08:10  2,06
01/01/2011  08:20  2,07
01/01/2011  08:30  2,08
01/01/2011  08:40  2,10
01/01/2011  08:50  2,12
01/01/2011  09:00  2,14
01/01/2011  09:10  2,16
01/01/2011  09:20  2,19
01/01/2011  09:30  2,21
01/01/2011  09:40  2,24
01/01/2011  09:50  2,27
01/01/2011  10:00  2,30
01/01/2011  10:10  2,33
01/01/2011  10:20  2,35
01/01/2011  10:30  2,38
01/01/2011  10:40  2,40
01/01/2011  10:50  2,42
01/01/2011  11:00  2,44
01/01/2011  11:10  2,46
01/01/2011  11:20  2,48
01/01/2011  11:30  2,49
01/01/2011  11:40  2,50
01/01/2011  11:50  2,51
01/01/2011  12:00  2,51
01/01/2011  12:10  2,52
01/01/2011  12:20  2,52
01/01/2011  12:30  2,52
01/01/2011  12:40  2,52
01/01/2011  12:50  2,51
01/01/2011  13:00  2,50
01/01/2011  13:10  2,50
01/01/2011  13:20  2,49
01/01/2011  13:30  2,48
01/01/2011  13:40  2,47
01/01/2011  13:50  2,45
01/01/2011  14:00  2,44
01/01/2011  14:10  2,42
01/01/2011  14:20  2,41
01/01/2011  14:30  2,39
01/01/2011  14:40  2,37
01/01/2011  14:50  2,35
01/01/2011  15:00  2,33
01/01/2011  15:10  2,31
01/01/2011  15:20  2,29
01/01/2011  15:30  2,27
01/01/2011  15:40  2,25
01/01/2011  15:50  2,23
01/01/2011  16:00  2,20
01/01/2011  16:10  2,18
01/01/2011  16:20  2,16
01/01/2011  16:30  2,13
01/01/2011  16:40  2,11
01/01/2011  16:50  2,08
01/01/2011  17:00  2,06
01/01/2011  17:10  2,03
01/01/2011  17:20  2,01
01/01/2011  17:30  1,98
01/01/2011  17:40  1,95
01/01/2011  17:50  1,93
01/01/2011  18:00  1,91
01/01/2011  18:10  1,88
01/01/2011  18:20  1,86
01/01/2011  18:30  1,84
01/01/2011  18:40  1,82
01/01/2011  18:50  1,81
01/01/2011  19:00  1,80
01/01/2011  19:10  1,78
01/01/2011  19:20  1,78
01/01/2011  19:30  1,77
01/01/2011  19:40  1,77
01/01/2011  19:50  1,78
01/01/2011  20:00  1,78
01/01/2011  20:10  1,79
01/01/2011  20:20  1,81
01/01/2011  20:30  1,83
01/01/2011  20:40  1,85
01/01/2011  20:50  1,87
01/01/2011  21:00  1,90
01/01/2011  21:10  1,93
01/01/2011  21:20  1,97
01/01/2011  21:30  2,00
01/01/2011  21:40  2,04
01/01/2011  21:50  2,08
01/01/2011  22:00  2,12
01/01/2011  22:10  2,17
01/01/2011  22:20  2,21
01/01/2011  22:30  2,25
01/01/2011  22:40  2,29
01/01/2011  22:50  2,33
01/01/2011  23:00  2,37
01/01/2011  23:10  2,41
01/01/2011  23:20  2,44
01/01/2011  23:30  2,47
01/01/2011  23:40  2,50
01/01/2011  23:50  2,53
02/01/2011  00:00  2,55
02/01/2011  00:10  2,57
02/01/2011  00:20  2,59
02/01/2011  00:30  2,61
02/01/2011  00:40  2,62
02/01/2011  00:50  2,63
02/01/2011  01:00  2,64
02/01/2011  01:10  2,64
02/01/2011  01:20  2,65
02/01/2011  01:30  2,65
02/01/2011  01:40  2,65
02/01/2011  01:50  2,65
02/01/2011  02:00  2,65
02/01/2011  02:10  2,65
02/01/2011  02:20  2,64
02/01/2011  02:30  2,63
02/01/2011  02:40  2,63
02/01/2011  02:50  2,62
02/01/2011  03:00  2,61
02/01/2011  03:10  2,60
02/01/2011  03:20  2,59
02/01/2011  03:30  2,58
02/01/2011  03:40  2,56
02/01/2011  03:50  2,55
02/01/2011  04:00  2,53
02/01/2011  04:10  2,52
02/01/2011  04:20  2,50
02/01/2011  04:30  2,48
02/01/2011  04:40  2,46
02/01/2011  04:50  2,44
02/01/2011  05:00  2,42
02/01/2011  05:10  2,40
02/01/2011  05:20  2,37
02/01/2011  05:30  2,35
02/01/2011  05:40  2,33
02/01/2011  05:50  2,30
02/01/2011  06:00  2,28
02/01/2011  06:10  2,25
02/01/2011  06:20  2,22
02/01/2011  06:30  2,20
02/01/2011  06:40  2,18
02/01/2011  06:50  2,15
02/01/2011  07:00  2,13
02/01/2011  07:10  2,11
02/01/2011  07:20  2,09
02/01/2011  07:30  2,08
02/01/2011  07:40  2,06
02/01/2011  07:50  2,05
02/01/2011  08:00  2,04
02/01/2011  08:10  2,04
02/01/2011  08:20  2,03
02/01/2011  08:30  2,03
02/01/2011  08:40  2,04
02/01/2011  08:50  2,04
02/01/2011  09:00  2,06
